,Date,Vaar,Sunrise,SunSet,Moonrise,Masa,Paksha,Tithi,Nakshatra,Yoga,Sun,Moon,SuryaNakshatra,TamilYoga,AnandadiYoga,Rahukala_Start,Rahukala_end,Yamaganda_Start,Yamaganda_end,Gulikai_Start,Gulikai_end
0,01/01/2021,Fri,24322,65316,72965,Margasira,Krishna,Dvitiiya,Pushya,Vaidhriti,Dhanus,Karka,P.shadha,Marana,Utpatha,39695,44819,55068,60192,29446,34570
1,02/01/2021,Sat,24345,65349,76333,Margasira,Krishna,Tritiiya,Aslesha,Vishkambha,Dhanus,Simha,P.shadha,Marana,Manasa,34596,39721,49973,55098,24345,29470
2,03/01/2021,Sun,24367,65383,79640,Margasira,Krishna,Chaturthi,Magha,Priti,Dhanus,Simha,P.shadha,Marana,Mudgara,60256,65383,44875,50002,55129,60256
3,04/01/2021,Mon,24388,65416,82887,Margasira,Krishna,Panchami,P.Phalguni,Aayushman,Dhanus,Simha,P.shadha,Siddha,Dhawaja,29517,34645,39774,44902,50031,55159
4,05/01/2021,Tue,24408,65450,86109,Margasira,Krishna,Saptami,U.Phalguni,Shobhana,Dhanus,Kanya,P.shadha,Amrita,Dhaatru,55190,60320,34669,39799,44929,50059
5,06/01/2021,Wed,24428,65484,0,Margasira,Krishna,Ashtami,Hasta,Atiganda,Dhanus,Kanya,P.shadha,Marana,Ananda,44956,50088,29560,34692,39824,44956
6,07/01/2021,Thu,24446,65517,2958,Margasira,Krishna,Navami,Chitra,Sukarman,Dhanus,Tula,P.shadha,Siddha,Chara,50116,55250,24446,29580,34714,39848
7,08/01/2021,Fri,24464,65551,6296,Margasira,Krishna,Dashami,Svaati,Dhriti,Dhanus,Tula,P.shadha,Siddha,Gadha,39872,45008,55279,60415,29600,34736
8,09/01/2021,Sat,24481,65584,9772,Margasira,Krishna,Ekadashi,Vishaakha,Shuula,Dhanus,Vrishchika,P.shadha,Siddha,Subha,34757,39895,50171,55308,24481,29619
9,10/01/2021,Sun,24497,65618,13402,Margasira,Krishna,Dvadashi,Anuraadha,Ganda,Dhanus,Vrishchika,P.shadha,Marana,Mrutyu,60478,65618,45057,50197,55337,60478
10,11/01/2021,Mon,24512,65651,17147,Margasira,Krishna,Trayodashi,Jyeshtha,Vriddhi,Dhanus,Dhanus,U.shada,Siddha,Padma,29654,34797,39939,45081,50224,55366
11,12/01/2021,Tue,24526,65684,20899,Margasira,Krishna,Chaturdashi,Mula,Vyaghata,Dhanus,Dhanus,U.shada,Amrita,Chatra,55394,60539,34815,39960,45105,50250
12,13/01/2021,Wed,24539,65717,24517,Margasira,Krishna,Amavasya,U.shada,Harshana,Dhanus,Makara,U.shada,Amrita,Vajra,45128,50275,29686,34833,39980,45128
13,14/01/2021,Thu,24551,65749,27878,Pausha,Shukla,Prathama,Shravana,Vajra,Makara,Makara,U.shada,Siddha,Dwanksha,50300,55449,24551,29700,34850,40000
14,15/01/2021,Fri,24562,65781,30926,Pausha,Shukla,Dvitiiya,Dhanishta,Siddhi,Makara,Kumbha,U.shada,Siddha,Dhaatru,40019,45171,55476,60629,29714,34866
15,16/01/2021,Sat,24571,65813,33670,Pausha,Shukla,Tritiiya,Shatabhisha,Vyatipata,Makara,Kumbha,U.shada,Amrita,Ananda,34882,40037,50347,55503,24571,29727
16,17/01/2021,Sun,24580,65845,36163,Pausha,Shukla,Chaturthi,P.Bhadrapada,Variyan,Makara,Kumbha,U.shada,Siddha,Chara,60687,65845,45212,50370,55528,60687
17,18/01/2021,Mon,24588,65876,38474,Pausha,Shukla,Panchami,P.Bhadrapada,Parigha,Makara,Mina,U.shada,Marana,Musala,29749,34910,40071,45232,50393,55554
18,19/01/2021,Tue,24594,65907,40676,Pausha,Shukla,Shashthi,U.Bhadrapada,Shiva,Makara,Mina,U.shada,Amrita,Siddha,55578,60742,34922,40086,45250,50414
